,PFAF_ID,Glob_importance_biod_abs,Glob_importance_carbonwater_abs,Ground_Water_Qual_Mexico_abs,NCP_global_abs,NCP_local_abs,STARR_abs,START_abs,Superf_Water_Qual_Mexico_abs,WRI_WaterRisk_bwd_raw_abs,WRI_WaterRisk_bws_raw_abs,WRI_WaterRisk_cep_raw_abs,WRI_WaterRisk_drr_raw_abs,WRI_WaterRisk_udw_raw_abs,Water_Qual_Mexico_abs,deforestation_abs,ecological_intactness_abs,land_degradation_abs,terr_acidification_NH3_abs,Unnamed: 0,Glob_importance_biod,Glob_importance_carbonwater,Ground_Water_Qual_Mexico,NCP_global,NCP_local,STARR,START,Superf_Water_Qual_Mexico,WRI_WaterRisk_bwd_raw,WRI_WaterRisk_bws_raw,WRI_WaterRisk_cep_raw,WRI_WaterRisk_drr_raw,WRI_WaterRisk_udw_raw,Water_Qual_Mexico,deforestation,ecological_intactness,land_degradation,terr_acidification_NH3,Category_L4_LCA,Global Warming Potential_pton(kg CO2-Eq_pton),Land Use_pton (m2_pton),Water Pollution_pton (kg P eq_pton),Land Transformation_pton (m2_pton),Soil Pollution_pton (kg SO2 eq_pton),Water Us_pton (m3_pton),Updated_crop_weight_in_tonnes,merge_ind_abs,Global Warming Potential(kg CO2-Eq),Land Use (m2)_TOTAL,Freshwater Pollution (kg P-eq)_TOTAL,Land Transformation (m2)_TOTAL,Soil Pollution (kg SO2-eq)_TOTAL,Freshwater Use (m3)_TOTAL,ISO3,Country_ISO3,CF WC hierarchist species-eq·yr/m3_EE_end,CF WC all  species-eq·yr/m3_EE_end,merge_ind_cf,Acidification - Terrestrial ecosystems,Water consumption - terrestrial ecosystems,Land use - occupation and transformation,Eutrophication - Freshwater ecosystems,Water consumption -aquatic ecosystems,Endpoint_landuse,Endpoint_landtrans,Endpoint_water_pollution,Endpoint_water_use,Endpoint_soil_pollution,biodiversity_theme_risk,land_theme_risk,water_theme_risk,landuse_rel_risk,soilpoll_rel_risk,landtrans_rel_risk,wateruse_rel_risk,waterpoll_rel_risk,biodiversity_theme_score,water_theme_score,land_theme_score,EP_risk_landuse,EP_risk_landtrans,EP_risk_soilpoll,EP_risk_wateruse,EP_risk_waterpoll,EP_risk_landuse_pton,EP_risk_landtrans_pton,EP_risk_soilpoll_pton,EP_risk_wateruse_pton,EP_risk_waterpoll_pton,Total_EP_risk,Total_EP_risk_pton,biodiversity_theme_score_pton,water_theme_score_pton,land_theme_score_pton,Quantity_Rank,Quantity_Rank_ABC,Quantity_Class
54,7714705,39.395942483036926,53.28226730574404,1.228975042780157,0.9467373213236734,5.166485897446812,11.793767292973838,64.34731527911391,1.836507649347443,0.5058015532815148,1.01912283651595,0.0680949754067307,2.5988826078443057,0.0234986323253037,1.836507649347443,0.0514104814576753,0.9293810136249928,0.0827602220098586,3.861040046286723e-12,54,4.0,2.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,2.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,71436,both,6017054.279378963,105796716.00000001,1001.5325418737553,3571800.0,22288.03229300222,5714.879299342519,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.9394748380800002,0.031717584,0.0006720283355972898,5.521722093904041e-05,0.004725062846116471,3.25,4.0,3.8,3.3333333333333335,4.0,3.5,4.0,3.5,3.053293223760001,0.001286484029173338,1.8883998018522334,3.1315827936000007,0.111011544,0.018900251384465883,0.00022086888375616164,0.0023520991745905146,4.383760000000001e-05,1.554e-06,2.6457600347816064e-07,3.0918428209328857e-09,3.292596414399623e-08,3.2640675570428135,4.56921938104431e-05,4.274166000000001e-05,1.8008903482464555e-08,2.643484800173909e-05,2.0,B,5
55,7714706,42.233547121448886,43.200214162853705,1.1399344864026262,0.5837518250919045,7.6660816067273,3.949858981349282,7.319401271486549,1.789467305033108,0.5054566559116818,1.019122800052838,0.0477927494621794,2.601288911872829,0.0232247583334153,1.789467305033108,0.0039226823045482,0.8943890503710775,-0.0211569667525871,3.861039588538345e-12,55,4.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,62343,both,5251150.889458014,92329983.00000001,874.0487045472245,3117150.0,19451.01625570633,4987.439388528342,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.8198902490400002,0.027680292000000002,0.0005864866807511876,4.8188689246354726e-05,0.004123615446209742,2.75,3.0,3.2,3.0,3.0,2.5,4.0,2.0,2.2546981848600005,0.000682864059243897,1.2360207967293149,2.4596707471200006,0.06920073,0.012370846338629225,0.0001927547569854189,0.0011729733615023752,3.945384000000001e-05,1.11e-06,1.9843200260862046e-07,3.0918428209328857e-09,1.881483665371213e-08,2.5426080515771177,4.078417868208328e-05,3.616602000000001e-05,1.0953339737322506e-08,1.9826136001304314e-05,3.0,C,5
51,7714702,50.83582961802627,40.726807446680326,1.1198729703879986,0.2988290663784793,2.6844774219785514,5.710307717797325,5.64495760031329,2.2375950792264128,0.5045648854530667,1.019122785877817,0.043020366958745,2.6004266327268346,0.0230751840159582,2.2375950792264128,0.0,0.9131266486746636,0.082512341471864,3.86103905404626e-12,51,5.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,2.0,1.0,5.0,0.0,5.0,4.0,3.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,75285,both,6341255.549345502,111497085.00000001,1055.4955122762426,3764250.0,23488.920308789297,6022.799261590815,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.9900941148000002,0.033426540000000005,0.0007082374887373588,5.819234669348307e-05,0.004979651105463331,2.0,3.5,3.6,2.0,3.0,3.0,4.0,3.0,1.9801882296000004,0.0011787409264930042,1.9876577062581955,1.9801882296000004,0.10027962000000001,0.014938953316389992,0.0002327693867739323,0.0021247124662120763,2.6302560000000005e-05,1.3320000000000001e-06,1.9843200260862046e-07,3.0918428209328857e-09,2.8222254980568192e-08,2.0977642847693767,2.786430610041013e-05,2.6302560000000005e-05,1.5657048900750537e-08,2.6401776001304315e-05,1.0,A,5
43,7714601,48.24432102193835,29.34837331510478,1.1223627785016983,0.6323131395125285,6.80574039262598,6.34818052677675,6.734828466451627,2.287697060645548,0.5249415226539637,1.0134361048213103,0.0430203571564585,2.6390687415888747,0.027563728458174,2.287697060645548,0.0,0.8997502709614956,-0.0558482853320658,4.216068836316313e-12,43,4.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,5.0,4.0,1.0,3.0,1.0,5.0,0.0,4.0,3.0,4.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,45759,both,3854280.569602189,67769079.00000001,641.5410658995628,2287950.0,14276.808187685321,3660.7195511872765,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.6017894215200001,0.020316996,0.0004304740552186066,3.5369908910766976e-05,0.003026683335789288,2.75,3.5,3.6,3.0,4.0,2.5,4.0,3.0,1.6549209091800003,0.0007164509006494438,0.9087374989515788,1.8053682645600004,0.05079249,0.012106733343157152,0.0001414796356430679,0.0012914221656558198,3.945384000000001e-05,1.11e-06,2.6457600347816064e-07,3.0918428209328853e-09,2.822225498056819e-08,1.8697003897044568,4.085973010127968e-05,3.616602000000001e-05,1.5657048900750537e-08,1.9859208001739087e-05,4.0,D,3
8,7713000,22.639158990946925,71.63081596023747,1.2266669214282426,0.9509004588995614,3.757075386415784,28.233519391464995,112.66432614741326,2.3061667094008667,0.3647777431247247,0.9801624967949352,0.0430203644257889,2.660440211567162,0.0309266556831554,2.3061667094008667,0.0496185824994,0.9186078222182644,0.3436974040617213,6.389567568647722e-12,8,2.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,23754,both,2000799.419793492,35179674.00000001,333.03102076920857,1187700.0,7411.248097429513,1900.3197670163809,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.3123955051200001,0.010546776,0.00022346381493613894,1.8360908592109943e-05,0.0015711845966550567,4.0,5.0,4.0,4.0,5.0,4.5,3.6666666666666665,4.5,1.2495820204800003,0.0005364552493585142,0.7849167242916378,1.2495820204800003,0.04746049200000001,0.007855922983275284,6.732333150440312e-05,0.0010055871672126253,5.260512000000002e-05,1.998e-06,3.307200043477008e-07,2.8341892525218118e-09,4.233338247085229e-08,1.3059713459619926,5.497900757607109e-05,5.260512000000002e-05,2.258378586168705e-08,3.304356000217386e-05,6.0,F,2
44,7714602,48.88339246724891,21.59950560635007,1.14073454344637,0.8162673883563046,12.32838939683406,2.026390108999727,3.003465588609898,2.10628646117631,0.5433162150598162,1.0191227497839337,0.0430203590023592,2.654675523960608,0.0297541306008418,2.10628646117631,0.0,0.8728406703454785,0.0489169680221979,3.861039904422114e-12,44,4.0,1.0,2.0,1.0,5.0,2.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,4.0,0.0,3.0,4.0,3.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,18330,both,1543935.899840646,27146730.000000004,256.9865542939965,916500.0,5718.96007518241,1466.3998202159746,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.24106296240000005,0.008138520000000002,0.00017243797793127166,1.416836972692495e-05,0.0012124195359386708,2.5,3.5,3.8,3.3333333333333335,3.0,2.0,4.333333333333333,3.0,0.6026574060000002,0.0002893551013052449,0.48394455410390813,0.8035432080000002,0.016277040000000003,0.0036372586078160123,6.139626881667478e-05,0.000517313933793815,4.3837600000000015e-05,8.880000000000001e-07,1.9843200260862043e-07,3.3494963893439597e-09,2.8222254980568192e-08,0.8240362168104267,4.4955603753978547e-05,3.2878200000000007e-05,1.5785875684956078e-08,2.640177600130432e-05,7.0,G,1
57,7714708,45.63772420696785,34.69161182860987,1.1140996541510084,0.6098189780018708,8.065497460491983,2.982933962535077,2.978678030178709,1.674296558330735,0.5287494346107455,1.0191228492131217,0.0430203626124228,2.6539128013358058,0.0235067693984925,1.674296558330735,0.0,0.8670653340439921,-0.1331131595182319,3.861040043041805e-12,57,4.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,5.0,5.0,2.0,3.0,1.0,2.0,0.0,3.0,2.0,4.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,24714,both,2081660.219785146,36601434.00000001,346.4902183754408,1235700.0,7710.7681013670535,1977.1197576005236,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.3250207339200001,0.010973016,0.00023249493652992078,1.9102950869133832e-05,0.0016346828374898153,2.25,3.0,3.2,2.3333333333333335,4.0,2.0,4.333333333333333,1.5,0.7312966513200002,0.00021576092928056388,0.32829009959497973,0.7583817124800002,0.021946032,0.006538731349959261,8.27794537662466e-05,0.0003487424047948812,3.0686320000000006e-05,8.88e-07,2.645760034781606e-07,3.349496389343959e-09,1.4111127490284098e-08,0.7872979976885206,3.18563566273578e-05,2.959038000000001e-05,8.730311939814027e-09,1.3283568001739084e-05,5.0,E,2
11,7713042,31.13650268868507,73.39562401068738,1.141245863831292,1.1389896522110086,8.547245641411363,4.190155357162904,42.11094334115428,2.069762151004188,0.3222224083517631,1.0191226761678098,0.18579225538476474,2.695436076372128,0.03392989264204,2.069762151004188,0.0621236029467483,0.8853937464216353,0.5849187184963571,6.389567336933937e-12,11,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,8902,both,749815.4599226095,13183862.000000002,124.80601780279089,445100.0,2777.4240365124833,712.1599126875399,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.11707269456000002,0.0039524880000000005,8.374483794567269e-05,6.880896197986137e-06,0.0005888138957406465,3.75,5.0,3.6,4.0,5.0,4.0,4.0,3.0,0.4390226046000001,0.0001393790493144813,0.29415377113935165,0.4682907782400001,0.015809952000000002,0.002944069478703232,2.7523584791944548e-05,0.0002512345138370181,5.260512000000001e-05,1.7760000000000002e-06,3.307200043477008e-07,3.0918428209328857e-09,2.82222549805682e-08,0.48732355781733233,5.4743154102149214e-05,4.931730000000001e-05,1.565704890075054e-08,3.304356000217385e-05,10.0,J,1
26,7713089,39.29116758760339,57.10404296942033,1.2047558999296428,0.3713322180024539,3.0770278125750763,52.83901482650925,107.64596561073547,2.2312994163349007,0.1863078443270154,0.6222896092168034,0.18579225538476474,2.466010517125991,0.0382178657747237,2.2312994163349007,0.0,0.919515194208238,0.6387281152400728,6.389566951903714e-12,26,4.0,2.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,5.0,0.0,5.0,5.0,5.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,9440,both,795131.1999179323,13980640.000000002,132.34877646128353,472000.0,2945.2800387191464,755.1999074107365,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.12414808320000002,0.004191360000000001,8.880602900552125e-05,7.29674905740161e-06,0.000624399368208459,3.25,5.0,3.0,3.6666666666666665,5.0,3.5,2.3333333333333335,4.0,0.4034812704000001,0.0001861249319113444,0.3119312064205212,0.45520963840000006,0.014669760000000002,0.003121996841042295,1.702574780060376e-05,0.000355224116022085,4.822136000000001e-05,1.5540000000000003e-06,3.307200043477007e-07,1.8035749788775168e-09,3.762967330742426e-08,0.473373645104865,5.0145513252634006e-05,4.274166000000001e-05,1.971662414315089e-08,3.304356000217385e-05,9.0,I,1
36,7714504,27.50129011034308,76.96609645507007,1.169626844005644,0.7596363167052445,7.014718851068552,95.506198871203,121.2565397298497,2.2965086264981927,0.1958071909284038,0.6324628473983765,0.18579225538476474,2.471332945573594,0.0380606935854168,2.2965086264981927,0.0,0.9010463320042488,-0.1584762640009671,6.389566703540794e-12,36,3.0,4.0,2.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,4.0,5.0,0.0,4.0,2.0,5.0,Agave,84.22999999130639,1481.0000000000002,0.0140199975064919,50.0,0.3120000041016045,0.0799999901918153,8389,both,706605.4699270693,12424109.000000002,117.61375908196055,419450.0,2617.36803440836,671.1199177191386,MEX,MEX,9.66e-09,2.01e-12,both,2.12e-07,1.35e-08,8.88e-09,6.71e-07,6.04e-13,0.11032608792000002,0.0037247160000000003,7.891883234399553e-05,6.484367356201495e-06,0.0005548820232945724,4.25,3.5,2.8,3.6666666666666665,5.0,4.0,2.3333333333333335,3.5,0.4688858736600001,0.0001456730518508939,0.11171329297823646,0.40452898904000006,0.014898864000000001,0.002774410116472862,1.5130190497803488e-05,0.00027621591320398434,4.822136000000001e-05,1.7760000000000002e-06,3.307200043477008e-07,1.8035749788775168e-09,3.2925964143996225e-08,0.4224936092601747,5.036280954347058e-05,5.589294000000001e-05,1.7364769561436873e-08,1.3316640002173854e-05,11.0,K,1
